"nom","prénom","groupe","rattachement_parti"
"Sommaruga","Julie","SRC","Parti socialiste"
"Sordi","Michel","UMP","Union pour un mouvement populaire"
"Straumann","Éric","UMP","Union pour un mouvement populaire"
"Sturni","Claude","UMP","Union pour un mouvement populaire"
"Suguenot","Alain","UMP","Union pour un mouvement populaire"
"Tabarot","Michèle","UMP","Union pour un mouvement populaire"
"Tahuaitu","Jonas","UDI","Tahoeraa huiraatira"
"Tallard","Suzanne","SRC","Parti socialiste"
"Tardy","Lionel","UMP","Union pour un mouvement populaire"
"Taugourdeau","Jean-Charles","UMP","Union pour un mouvement populaire"
"Teissier","Guy","UMP","Union pour un mouvement populaire"
"Terrasse","Pascal","SRC","Parti socialiste"
"Terrier","Gérard","SRC","Parti socialiste"
"Terrot","Michel","UMP","Union pour un mouvement populaire"
"Tetart","Jean-Marie","UMP","Union pour un mouvement populaire"
"Thévenoud","Thomas","SRC","Parti socialiste"
"Tian","Dominique","UMP","Union pour un mouvement populaire"
"Tolmont","Sylvie","SRC","Parti socialiste"
"Touraine","Jean-Louis","SRC","Parti socialiste"
"Tourret","Alain","RRDP","Parti radical de gauche"
"Travert","Stéphane","SRC","Parti socialiste"
"Troallic","Catherine","SRC","Parti socialiste"
"Tuaiva","Jean-Paul","UDI","Tahoeraa huiraatira"
"Untermaier","Cécile","SRC","Parti socialiste"
"Urvoas","Jean-Jacques","SRC","Parti socialiste"
"Vaillant","Daniel","SRC","Parti socialiste"
"Vainqueur-Christophe","Hélène","SRC","Parti socialiste"
"Valax","Jacques","SRC","Parti socialiste"
"Valter","Clotilde","SRC","Parti socialiste"
"Vannson","François","UMP","Union pour un mouvement populaire"
"Vautrin","Catherine","UMP","Union pour un mouvement populaire"
"Vauzelle","Michel","SRC","Parti socialiste"
"Véran","Olivier","SRC","Parti socialiste"
"Vercamer","Francis","UDI","Association PSLE-Nouveau Centre"
"Verchère","Patrice","UMP","Union pour un mouvement populaire"
"Verdier","Fabrice","SRC","Parti socialiste"
"Vergnier","Michel","SRC","Parti socialiste"
"Vialatte","Jean-Sébastien","UMP","Union pour un mouvement populaire"
"Vigier","Jean-Pierre","UMP","Union pour un mouvement populaire"
"Vigier","Philippe","UDI","Association PSLE-Nouveau Centre"
"Vignal","Patrick","SRC","Parti socialiste"
"Villain","François-Xavier","UDI","Union des radicaux, centristes, indépendants et démocrates"
"Villaumé","Jean-Michel","SRC","Parti socialiste"
"Vitel","Philippe","UMP","Union pour un mouvement populaire"
"Vlody","Jean Jacques","SRC","Parti socialiste"
"Voisin","Michel","UMP","Union pour un mouvement populaire"
"Warsmann","Jean-Luc","UMP","Union pour un mouvement populaire"
"Wauquiez","Laurent","UMP","Union pour un mouvement populaire"
"Woerth","Éric","UMP","Union pour un mouvement populaire"
"Zanetti","Paola","SRC","Parti socialiste"
"Zimmermann","Marie-Jo","UMP","Union pour un mouvement populaire"
"Zumkeller","Michel","UDI","Union des radicaux, centristes, indépendants et démocrates"
